Target,Uniprot,Multiplicity
Q6WJ03_4wef,Q6WJ03,3
P00520_6hd4,P00520,2
P56817_2qmd,P56817,3
Q07343_3gwt,Q07343,1
Q95WL3_4dwg,Q95WL3,1
P00918_4pyx,P00918,3
Q92793_4tqn,Q92793,2
P14780_6esm,P14780,1
P23687_4an0,P23687,1
P58154_2zju,P58154,5
P61823_2xog,P61823,1
P28482_4qp1,P28482,4
Q9Y233_4ms0,Q9Y233,1
P53779_4x21,P53779,1
Q9Y233_5b4k,Q9Y233,1
Q06187_1bwn,Q06187,1
Q9Y233_2y0j,Q9Y233,1
P11362_5a4c,P11362,1
Q07343_1xos,Q07343,1
P0A6X3_3qo3,P0A6X3,3
P24941_1oiy,P24941,3
P04637_5o1h,P04637,10
Q13526_3kaf,Q13526,1
P00491_1pf7,P00491,1
P56817_5i3v,P56817,3
Q08602_3c72,Q08602,1
Q93009_5n9t,Q93009,2
Q02RL6_5zhn,Q02RL6,2
P07900_3vhd,P07900,1
P00742_2j4i,P00742,2
P56817_4r5n,P56817,3
P48736_3tl5,P48736,1
P04035_3ccw,P04035,2
Q13093_5lz5,Q13093,1
Q92793_5ktx,Q92793,2
O60760_3vi7,O60760,1
Q8IKG4_5jmw,Q8IKG4,1
P24941_3rni,P24941,3
B6AA20_5fol,B6AA20,1
P24941_2c5x,P24941,3
P48736_4kz0,P48736,1
O14733_6qho,O14733,1
P04818_1juj,P04818,2
Q9WFL7_4ll3,Q9WFL7,1
O49686_5ur6,O49686,1
O94760_3p8p,O94760,1
P39900_3ehy,P39900,1
P04191_5ncq,P04191,3
O14965_4j8m,O14965,3
P61823_3dxg,P61823,1
A5U9I4_5ioz,A5U9I4,1
Q03111_6t1l,Q03111,1
P42336_6gvg,P42336,7
Q08881_4m13,Q08881,1
P23946_4k5z,P23946,3
P07900_2yjw,P07900,1
P07900_4awp,P07900,1
P53634_6rn9,P53634,2
P49773_6n3x,P49773,2
P03369_3ekt,P03369,1
K4KA16_4ok5,K4KA16,1
O00255_4og8,O00255,3
P58154_1uw6,P58154,5
P56817_1tqf,P56817,3
O60885_5ueu,O60885,1
P00742_1g2m,P00742,2
P69834_4nak,P69834,1
O14733_6ib0,O14733,1
O60885_6czu,O60885,1
P12493_4u0e,P12493,1
Q99814_5ufp,Q99814,1
P08581_3zbx,P08581,1
P37231_2f4b,P37231,2
P03367_2pwr,P03367,2
P00492_4ran,P00492,1
O14684_5k0i,O14684,1
P62508_2zas,P62508,1
Q9Y233_4lm2,Q9Y233,1
P07900_2ykj,P07900,1
P22102_4zz2,P22102,1
P61964_6pg9,P61964,2
P34913_3ans,P34913,1
Q92793_5eng,Q92793,2
O75164_5f3e,O75164,2
P93836_6j63,P93836,1
P07900_2yke,P07900,1
P03962_3gdt,P03962,1
P03367_2pwc,P03367,2
P28482_6g9m,P28482,4
Q5SLD7_6jaq,Q5SLD7,1
P00918_3s8x,P00918,3
O60885_5a5s,O60885,1
P61964_6pg6,P61964,2
Q6MLN6_6hq4,Q6MLN6,2
P51955_2xk7,P51955,1
O14757_2brh,O14757,2
P24941_1b39,P24941,2
O38732_2qi0,O38732,1
Q93009_5nge,Q93009,2
P17931_6qgf,P17931,1
Q8AAK6_2vot,Q8AAK6,1
O14744_6ckc,O14744,1
Q05127_4ibf,Q05127,1
Q16539_3nnx,Q16539,4
Q05397_4k9y,Q05397,1
Q7VL18_5yyb,Q7VL18,1
P25779_2oz2,P25779,1
O60885_5khm,O60885,1
P55201_5epr,P55201,1
O14965_3r22,O14965,4
P07900_6n8x,P07900,1
Q9GK12_3uil,Q9GK12,1
P00918_2x7s,P00918,3
P00918_5nea,P00918,3
P56817_4rcf,P56817,3
P56817_4djy,P56817,3
G7CNL4_6d4s,G7CNL4,1
Q77VV3_5ivs,Q77VV3,1
Q9H2K2_5nwd,Q9H2K2,2
P06968_1dud,P06968,1
A5K8L9_5xms,A5K8L9,3
Q8TEK3_5dsx,Q8TEK3,1
O14757_3ot8,O14757,2
Q9UNA0_3hy7,Q9UNA0,1
P26281_4m5h,P26281,1
P02766_4abu,P02766,1
P08581_3ctj,P08581,1
P00797_2bkt,P00797,2
P44542_2cex,P44542,1
O60885_4cl9,O60885,1
Q02RL6_5wyq,Q02RL6,2
P62694_1dy4,P62694,2
P03366_3nuj,P03366,1
B1MDI3_6qqv,B1MDI3,2
Q04609_6f5l,Q04609,5
Q92793_6fr0,Q92793,2
P00489_3g2i,P00489,4
P56817_3in4,P56817,3
P00760_1zzz,P00760,2
P49759_5j1w,P49759,1
P00918_5n0e,P00918,3
P56817_2fdp,P56817,3
Q9UIF8_4ir5,Q9UIF8,1
O60885_4yh4,O60885,1
P52732_1yrs,P52732,3
P00918_4q7w,P00918,3
P00918_5sz2,P00918,3
Q9Y233_5c28,Q9Y233,1
P23443_3wf8,P23443,1
P00918_4q87,P00918,3
P00742_2w3i,P00742,2
Q9H2K2_4ui4,Q9H2K2,2
P08235_2oax,P08235,1
Q820T1_3il5,Q820T1,1
P35439_5i58,P35439,2
P56817_2hm1,P56817,3
Q16539_4kip,Q16539,4
P27487_5t4h,P27487,11
O08760_6g3y,O08760,1
O38732_2qhy,O38732,1
Q16539_3d83,Q16539,4
O60760_2vcq,O60760,1
P56817_2xfk,P56817,3
O00408_5vp1,O00408,1
Q89ZI2_2jiw,Q89ZI2,1
P31947_4dhp,P31947,4
Q5JIH4_3vx3,Q5JIH4,1
Q04609_3rbu,Q04609,5
Q9BVA6_4u0u,Q9BVA6,1
P13631_1fcy,P13631,2
P21453_3v2w,P21453,2
P32542_2fmb,P32542,1
Q96PN6_4oyi,Q96PN6,1
A2E7Y6_2isc,A2E7Y6,1
P03369_3hdk,P03369,1
Q9BJF5_3i7c,Q9BJF5,1
P17612_4uja,P17612,1
Q9Y233_4mse,Q9Y233,1
Q8N5Z0_4ge4,Q8N5Z0,2
P06999_3umo,P06999,1
O60885_6ps9,O60885,1
O26708_1nj5,O26708,1
P00811_4kz5,P00811,1
P00519_3qrj,P00519,5
P03474_1vcj,P03474,2
P35968_1y6b,P35968,1
P00489_2qn3,P00489,4
O44049_1n1t,O44049,1
Q9NRG4_5kjn,Q9NRG4,1
P10415_6gl8,P10415,2
Q05397_4kao,Q05397,1
P25440_6ffe,P25440,2
Q980A5_4rd0,Q980A5,2
Q9K2N0_4c1d,Q9K2N0,2
Q43088_2h2j,Q43088,1
P00797_3o9l,P00797,2
Q13627_5a4t,Q13627,3
P33981_4bhz,P33981,1
Q96RI1_5q18,Q96RI1,1
Q00960_6e7u,Q00960,10
P00489_1ggn,P00489,4
Q57ZL6_4i71,Q57ZL6,1
P09467_2wbb,P09467,3
O26232_1x1z,O26232,2
P56817_4djw,P56817,3
P00918_4m2u,P00918,3
P04058_5nuu,P04058,1
B1MDI3_6qr0,B1MDI3,2
Q9NZJ5_4x7h,Q9NZJ5,1
P52732_2fl2,P52732,3
P48736_4g11,P48736,1
P14780_4xct,P14780,1
P08581_5hoa,P08581,1
P11362_4f64,P11362,1
P15056_3c4c,P15056,2
P43235_1ayu,P43235,1
Q09472_5nu5,Q09472,3
Q4DA54_4yrt,Q4DA54,1
P53634_6rn7,P53634,2
Q9Y233_4ael,Q9Y233,1
O14757_2ydj,O14757,2
P07900_3r4n,P07900,1
Q89ZI2_5abf,Q89ZI2,1
Q460N5_4abk,Q460N5,1
P00742_1wu1,P00742,2
Q16658_6i10,Q16658,1
Q9Y233_4lm4,Q9Y233,1
Q965D7_3aza,Q965D7,2
Q00987_4ogv,Q00987,2
P47205_5drq,P47205,2
P37231_5ugm,P37231,2
O14965_4b0g,O14965,3
Q04609_4ngq,Q04609,5
P65249_4hdc,P65249,1
Q08638_5oss,Q08638,1
Q14397_4oho,Q14397,1
O35904_6ez6,O35904,1
P07900_2wi3,P07900,1
P33981_5n87,P33981,1
P00918_3v7x,P00918,3
Q96RI1_5q1b,Q96RI1,1
O28524_3ta0,O28524,2
P23458_6n79,P23458,1
Q8A3I4_4jft,Q8A3I4,1
O54438_4bo4,O54438,2
P24941_1wcc,P24941,3
P18031_5ka3,P18031,11
Q8WQX9_6gxq,Q8WQX9,1
O54438_4bnu,O54438,2
A1ILL9_3ti8,A1ILL9,2
Q8NNK8_3okp,Q8NNK8,1
B1MDI3_6qrf,B1MDI3,2
P00749_1w0z,P00749,3
P10275_4ql8,P10275,4
P08581_2wgj,P08581,1
P03366_4zls,P03366,1
P00915_6fag,P00915,1
P00766_6gch,P00766,1
Q8N5Z0_4ge7,Q8N5Z0,2
P28720_2qzr,P28720,3
P17931_5nfb,P17931,1
Q96CA5_3f7g,Q96CA5,1
P00811_4kza,P00811,1
P11172_3g3m,P11172,1
P00760_1v2q,P00760,2
A9JQL9_4f6v,A9JQL9,1
P14555_1j1a,P14555,1
P00918_5u0g,P00918,3
P08514_3nif,P08514,1
P21675_5i1q,P21675,1
Q02RL6_6jki,Q02RL6,2
O14965_2w1c,O14965,3
P14174_3wnt,P14174,3
P00918_5nee,P00918,3
Q92793_5mmg,Q92793,2
Q67PY4_5eud,Q67PY4,2
O75164_5vgi,O75164,2
A6QHR2_1jii,A6QHR2,1
P56817_4n00,P56817,3
P39900_6eox,P39900,1
P18891_1ofz,P18891,5
P24941_4bcq,P24941,3
Q9H2K2_5nt4,Q9H2K2,2
Q9FD73_3qt7,Q9FD73,1
Q07343_3frg,Q07343,1
Q24451_2f7o,Q24451,2
P23905_1gca,P23905,1
P39900_1z3j,P39900,1
P33981_5ap4,P33981,1
P48736_4wwp,P48736,1
P43912_4mcb,P43912,2
P00811_3gv9,P00811,10
P56817_4jpc,P56817,3
P52333_5lwm,P52333,2
O14965_3uoj,O14965,3
P00374_3s7a,P00374,1
Q9UHD2_6boe,Q9UHD2,1
P27487_3c45,P27487,11
P00746_5tcc,P00746,2
Q820T1_3il6,Q820T1,1
Q16288_6kzc,Q16288,1
Q16654_3d2r,Q16654,1
P00760_3rxb,P00760,2
I6YFP0_4xu2,I6YFP0,1
Q08881_4mf1,Q08881,1
P49336_4f6u,P49336,1
P18031_2veu,P18031,11
P04035_3cd5,P04035,2
P56273_1ttv,P56273,1
P0ABP8_1a69,P0ABP8,2
Q08499_6im6,Q08499,3
P00918_3oil,P00918,3
O60885_4f3i,O60885,1
P24941_1h1p,P24941,3
P00929_2clo,P00929,1
Q9NUW8_6n17,Q9NUW8,1
P02743_2a3x,P02743,3
Q9Y233_4fcd,Q9Y233,1
P53671_4tpt,P53671,1
P09960_3fty,P09960,1
P09467_3kc0,P09467,2
P00918_6equ,P00918,3
P28523_1zog,P28523,1
P16218_2bvd,P16218,1
Q9UIF8_4nrc,Q9UIF8,1
P56817_5hu1,P56817,3
Q873X9_2a3c,Q873X9,1
Q8MNY2_3s3q,Q8MNY2,1
Q00955_3tv5,Q00955,5
Q08881_4ppa,Q08881,1
P10828_2j4a,P10828,1
O15530_3qcs,O15530,4
Q9UIF8_6fi1,Q9UIF8,1
P00918_5flp,P00918,3
Q00987_5laz,Q00987,2
P11309_3ma3,P11309,1
C7Q5P8_5bw4,C7Q5P8,1
Q9UHD2_6cq0,Q9UHD2,1
O60885_5y93,O60885,1
Q16790_6fe0,Q16790,1
P00489_1k06,P00489,4
P04058_1h22,P04058,8
P19491_1my2,P19491,2
P11309_2o65,P11309,1
P07435_1g85,P07435,1
P52679_4rpo,P52679,2
P23458_6n7b,P23458,1
P00489_3syr,P00489,4
P55055_3l0e,P55055,1
P11797_4z2h,P11797,1
Q7M4F9_3alt,Q7M4F9,1
P13631_1fcx,P13631,2
P36639_4n1t,P36639,1
P81947_5xaf,P81947,9
P07333_4hw7,P07333,1
P23470_3qch,P23470,1
P00915_6ex1,P00915,1
P09874_5xsr,P09874,1
Q9F663_6d19,Q9F663,3
Q86U86_5fh7,Q86U86,1
P49841_5kpm,P49841,3
P25440_4akn,P25440,2
P56817_6od6,P56817,3
P00492_3ggc,P00492,1
P09874_2rd6,P09874,1
P97612_2wj1,P97612,1
Q06187_3piy,Q06187,2
Q873Y0_2xvn,Q873Y0,1
P00760_5mny,P00760,2
Q12931_5y3n,Q12931,2
P50750_4bci,P50750,1
P61823_3d6p,P61823,1
P17612_4uj2,P17612,1
A6TF32_2wib,A6TF32,1
Q13490_4lge,Q13490,1
P16932_1zc9,P16932,1
P12931_1o48,P12931,2
P24941_6q4g,P24941,3
P09955_2pj8,P09955,1
Q12852_5cep,Q12852,1
Q9Y233_5c2a,Q9Y233,1
P07900_4o07,P07900,1
Q9H2K2_4l2g,Q9H2K2,2
Q9C0B1_4ie6,Q9C0B1,1
P24941_3pxz,P24941,3
O75936_4c5w,O75936,1
P28482_6g9d,P28482,4
Q5SLD7_6jap,Q5SLD7,1
P24941_3r9o,P24941,2
O35904_5t2d,O35904,1
Q00944_2jkm,Q00944,1
O00255_5dd9,O00255,3
P08473_1r1h,P08473,5
Q05769_4oty,Q05769,8
P00918_3ryj,P00918,9
P02766_3fc8,P02766,1
P39900_1ycm,P39900,1
P19492_3rt6,P19492,1
P29375_6bgy,P29375,1
P42574_1rhq,P42574,1
Q00987_4odf,Q00987,2
Q16539_3lhj,Q16539,4
Q07820_5if4,Q07820,1
P03366_1ec1,P03366,1
Q9Y657_5jsg,Q9Y657,1
Q07820_5iez,Q07820,1
P00749_4h42,P00749,3
P11021_5exw,P11021,1
P00742_2y81,P00742,2
P03369_1b6k,P03369,1
P50579_2ea2,P50579,1
Q59H18_4yfi,Q59H18,1
P18031_2h4k,P18031,11
Q14289_3fzs,Q14289,1
P27487_3kwf,P27487,11
O00408_6cyb,O00408,1
Q04609_6h7y,Q04609,5
P24941_1pxo,P24941,2
P49841_5hlp,P49841,2
Q9C0B1_4cxw,Q9C0B1,1
Q6P6C2_4nro,Q6P6C2,1
O60885_6prt,O60885,1
P00929_1c8v,P00929,1
P01116_6pgo,P01116,1
P56817_2p4j,P56817,3
Q8DSE5_5c2o,Q8DSE5,1
P14780_2ow2,P14780,1
P28907_2pgj,P28907,1
P0AE18_2q94,P0AE18,1
P56817_3k5c,P56817,3
P53355_5auy,P53355,1
Q7N561_5odu,Q7N561,1
P49336_5xs2,P49336,1
P58687_4iuo,P58687,1
O92972_4iz0,O92972,3
O26232_2zz2,O26232,2
P00533_6s89,P00533,1
P03367_2q63,P03367,1
Q8U093_6ami,Q8U093,1
P37231_2g0g,P37231,2
P07900_2uwd,P07900,1
P00533_5ug8,P00533,1
P00918_4xe1,P00918,3
P07900_6elo,P07900,1
Q92793_5w0l,Q92793,2
Q13526_2xp7,Q13526,1
Q93009_5uqv,Q93009,2
Q13523_4ijp,Q13523,1
Q83883_3ur9,Q83883,1
Q643C8_4kif,Q643C8,2
P07900_6hhr,P07900,1
P00772_1eat,P00772,1
P26663_4b71,P26663,2
O38732_2i0a,O38732,1
P56817_5uyu,P56817,3
A4GRE3_3rf5,A4GRE3,2
P56817_3wb4,P56817,3
O14965_2wtv,O14965,3
Q91RS4_2f9u,Q91RS4,1
P00533_2j6m,P00533,1
P00918_6eda,P00918,3
Q9FD73_4dpt,Q9FD73,1
P00918_3bl0,P00918,3
Q16539_3que,Q16539,4
P24941_1jsv,P24941,3
P07900_4efu,P07900,1
P02879_1il3,P02879,1
P27487_3d4l,P27487,11
P00517_1xh5,P00517,1
P54818_4ccd,P54818,3
P00797_4rz1,P00797,3
P31749_3qkm,P31749,2
Q96KQ7_5vsc,Q96KQ7,2
P28720_1q66,P28720,3
P33981_5ei6,P33981,1
P00918_1kwr,P00918,3
P13491_4i9u,P13491,1
Q9Y233_4wn1,Q9Y233,1
P07550_6ps3,P07550,1
P00797_5sz9,P00797,3
P00797_3vyf,P00797,3
Q9Y233_5i2r,Q9Y233,1
P48736_4anx,P48736,1
P00749_2viq,P00749,3
Q5RZ08_6cdj,Q5RZ08,1
P48736_3prz,P48736,1
P00517_2uw6,P00517,1
O14965_3uoh,O14965,4
P11309_3r02,P11309,1
Q03111_6hpw,Q03111,1
P06276_6f7q,P06276,17
P01868_1dbk,P01868,1
P03372_4mg8,P03372,1
C3W5S0_5w44,C3W5S0,2
P25098_4mk0,P25098,1
P00929_2clf,P00929,1
Q16539_2baj,Q16539,4
Q7NX84_2boi,Q7NX84,2
P05164_5wdj,P05164,1
A6QHR2_1jil,A6QHR2,1
P49435_5vjn,P49435,1
P07900_4cwp,P07900,1
P56817_3l58,P56817,3
Q6P179_4jbs,Q6P179,10
P13009_6bm6,P13009,1
Q89ZI2_2w66,Q89ZI2,1
P23443_3wf9,P23443,1
P54760_2vwu,P54760,1
P07900_4u93,P07900,1
Q07010_6apt,Q07010,1
P15056_3ppk,P15056,2
Q9H2K2_5ows,Q9H2K2,2
P04150_1p93,P04150,4
Q0ED31_4dkp,Q0ED31,14
Q14397_4mro,Q14397,1
Q9WXQ8_3a1s,Q9WXQ8,1
Q9H9B1_5vsf,Q9H9B1,2
Q05320_6hro,Q05320,7
P05050_3t4h,P05050,1
Q16539_4eh9,Q16539,4
Q16539_6hwu,Q16539,4
P25774_3n3g,P25774,1
P19491_5elv,P19491,3
P48736_3ps6,P48736,1
P0A720_4tmk,P0A720,1
P00519_6npv,P00519,5
P04191_3n5k,P04191,3
P22748_3f7u,P22748,1
P23616_4bt3,P23616,1
P29597_5f1z,P29597,1
Q9H8M2_5twx,Q9H8M2,1
O75164_6h4v,O75164,2
O14786_5j1x,O14786,1
P03367_1mrw,P03367,2
D3WZ85_5k8n,D3WZ85,2
P0ABF6_1ctt,P0ABF6,1
P03366_2hb3,P03366,1
P08581_4mxc,P08581,1
A7UNK4_4ndu,A7UNK4,1
B1MDI3_6qr2,B1MDI3,2
P14780_2ow1,P14780,1
P54818_4ufk,P54818,2
Q92831_5lvq,Q92831,1
P08254_2jt6,P08254,1
P51955_2xke,P51955,1
P19491_4u4x,P19491,3
P07900_1uy6,P07900,1
P55201_5owa,P55201,1
O38732_3gi4,O38732,1
O15530_3iop,O15530,4
O14757_2bro,O14757,2
P08581_4aoi,P08581,1
Q9AMP1_3aru,Q9AMP1,1
P56817_6bfe,P56817,3
Q9Y233_3ws8,Q9Y233,1
P00772_1ele,P00772,1
Q16539_6sfi,Q16539,4
Q08881_3v8t,Q08881,1
P08709_2f9b,P08709,1
Q0A480_4ks5,Q0A480,1
A5U9I4_5ioy,A5U9I4,1
P24941_2r3m,P24941,2
P56817_4rro,P56817,3
Q6WY08_2zgm,Q6WY08,1
Q08499_6inm,Q08499,3
Q194T1_3tic,Q194T1,1
P00491_4eb8,P00491,2
O75936_4bgk,O75936,1
O35820_4kxl,O35820,3
P26663_4b76,P26663,2
Q9Y233_4mrw,Q9Y233,1
P00918_3m3x,P00918,3
Q08638_2jal,Q08638,1
P35968_3cpc,P35968,1
Q24451_3ejq,Q24451,2
P0AE18_2q95,P0AE18,1
B1MDI3_6qqq,B1MDI3,2
P24941_5jq5,P24941,3
P49841_1q5k,P49841,2
O15164_5h1u,O15164,1
P00918_4itp,P00918,3
P0AES7_5mmp,P0AES7,1
P43405_5ghv,P43405,1
P54578_6iin,P54578,1
O96935_4r5v,O96935,1
D0C9L6_4jwk,D0C9L6,1
Q9Y5P4_5zyg,Q9Y5P4,1
P00918_5aml,P00918,3
P00742_1z6e,P00742,2
Q18014_3zy2,Q18014,1
P56817_3l3a,P56817,3
P48736_4gb9,P48736,1
P00749_1f5l,P00749,3
P49773_6n3w,P49773,2
P07900_5odx,P07900,1
P26281_1tmm,P26281,1
Q9H2K2_4l09,Q9H2K2,2
Q9AJS0_3rx8,Q9AJS0,1
P61823_3d6o,P61823,1
P49759_6i5i,P49759,1
P00760_1yyy,P00760,2
P00797_3g6z,P00797,3
P03366_1hbv,P03366,1
P00730_7cpa,P00730,1
P00918_3ibi,P00918,3
P56817_4j0t,P56817,3
P25440_4uyg,P25440,2
P08581_5eyd,P08581,1
O25743_3fnm,O25743,1
Q9UG22_2xtn,Q9UG22,1
P08238_5uc4,P08238,1
P24182_3rup,P24182,2
P22455_6jpj,P22455,1
Q9NWZ3_4yo6,Q9NWZ3,2
P02701_2avi,P02701,1
O00255_5ddc,O00255,3
P25774_5qby,P25774,1
P31749_3ow4,P31749,2
Q96RI1_5q1a,Q96RI1,1
P62508_6i66,P62508,1
P00489_2qlm,P00489,4
P03072_5j4v,P03072,1
A5H660_6gx3,A5H660,3
P00491_3bgs,P00491,1
Q9UM73_5aa8,Q9UM73,1
P18031_1c88,P18031,11
P09382_3oyw,P09382,1
P97612_3k83,P97612,1
O60674_5tq3,O60674,2
P00436_3pcf,P00436,3
P53779_4whz,P53779,1
P49773_5km0,P49773,2
P02766_1e4h,P02766,1
Q14397_4ohk,Q14397,1
P56817_3ru1,P56817,3
P39900_1jiz,P39900,1
P37231_3g9e,P37231,2
P26281_5etn,P26281,1
P03956_1cgl,P03956,1
A9XG43_5dp6,A9XG43,1
P06276_5dyy,P06276,13
Q08638_2j7d,Q08638,1
A4TVL0_6r1a,A4TVL0,1
Q93009_5vsk,Q93009,2
Q584S0_3otx,Q584S0,2
P54753_5l6o,P54753,1
Q8IL11_4r76,Q8IL11,1
P04587_3d1z,P04587,1
P61823_1w4p,P61823,1
Q8DQ00_2gz2,Q8DQ00,1
P00517_4c36,P00517,1
P03366_1ec2,P03366,1
Q43295_4fxp,Q43295,1
P24941_3ddq,P24941,2
C6KP13_6hp0,C6KP13,3
P55055_4rak,P55055,1
Q9Y233_5edi,Q9Y233,1
P00491_2q7o,P00491,1
P07900_1uy9,P07900,1
P00929_1c9d,P00929,1
B1MDI3_6qr1,B1MDI3,2
A9JQL9_2zcr,A9JQL9,1
P98170_5c84,P98170,2
F0V9W9_4mx9,F0V9W9,1
P00811_3gqz,P00811,10
P07949_4ckj,P07949,1
P35790_4cg9,P35790,1
P28482_4xj0,P28482,4
Q99497_6afh,Q99497,1
P03951_5exl,P03951,2
A4TVL0_5oh2,A4TVL0,1
P50750_4bcg,P50750,1
Q16875_5ak0,Q16875,2
P74325_2b1q,P74325,1
Q96RI1_5q1f,Q96RI1,1
Q9H9B1_5ttg,Q9H9B1,2
P00918_4m2w,P00918,3
Q9HBH9_6cje,Q9HBH9,1
P30305_4wh7,P30305,1
P0AEE5_2qw1,P0AEE5,2
P00918_3rz0,P00918,9
O14733_6qhr,O14733,1
Q00987_4qo4,Q00987,2
O43924_4jvb,O43924,1
P00489_3l7d,P00489,4
Q58597_4rrg,Q58597,2
Q9Y5Y6_4o9v,Q9Y5Y6,1
P28482_5buj,P28482,4
P03366_1ebw,P03366,1
O92972_3cso,O92972,3
P78417_6pnn,P78417,1
Q9L5C8_4de2,Q9L5C8,1
P14174_1gcz,P14174,3
P18031_1pyn,P18031,11
O00408_4d08,O00408,1
P56817_1xs7,P56817,3
Q92793_6fqu,Q92793,2
Q99AU2_2d3u,Q99AU2,2
P48736_4ps8,P48736,1
Q99683_5up3,Q99683,1
P00760_1bju,P00760,2
Q13464_2esm,Q13464,2
Q9Y233_4llp,Q9Y233,1
Q8WZA1_5ggn,Q8WZA1,1
P00489_1b4d,P00489,4
Q47537_6stl,Q47537,1
P03367_3t3c,P03367,2
P0C6F2_4i8w,P0C6F2,1
P47811_3p7b,P47811,4
P03367_1mrx,P03367,2
P27487_5y7j,P27487,1
Q8I4S1_2yog,Q8I4S1,1
P48736_4fjz,P48736,1
P53779_4w4x,P53779,1
P08709_1wtg,P08709,1
O14965_4prj,O14965,3
P18670_1ws4,P18670,1
P09955_2pj3,P09955,1
P05364_2q9m,P05364,1
P11021_3ldp,P11021,1
C3W5S0_4awk,C3W5S0,2
P22748_5ku6,P22748,1
O96017_2xm9,O96017,1
P43405_5lma,P43405,1
P00742_2bq7,P00742,2
Q43088_2h2e,Q43088,1
P00811_4jxv,P00811,1
Q8TEK3_3qox,Q8TEK3,1
P21146_5he3,P21146,1
P55201_6ekq,P55201,1
Q9HBH9_6ck3,Q9HBH9,1
P39086_3fvk,P39086,1
Q8N884_6nao,Q8N884,2
P00722_3t2p,P00722,1
Q43965_5kbh,Q43965,1
O94925_5jyo,O94925,2
P13497_6bsl,P13497,1
P00918_3t82,P00918,3
P56817_5hdu,P56817,3
P45983_2gmx,P45983,2
B4EB35_4e8z,B4EB35,2
P50579_6qef,P50579,1
P04637_5o1b,P04637,10
P56817_4j0p,P56817,3
Q96KQ7_3rjw,Q96KQ7,2
Q06187_6di1,Q06187,2
Q8N1Q1_6g5u,Q8N1Q1,1
Q14397_4mqu,Q14397,1
P10275_3b5r,P10275,4
P00742_2vvu,P00742,2
P50579_5lyw,P50579,1
P00918_4knj,P00918,3
Q9UM73_5aac,Q9UM73,1
P56817_3l5e,P56817,3
P52679_4rpn,P52679,1
O60674_4bbf,O60674,2
P04585_1qbt,P04585,1
O60760_4edy,O60760,1
P17931_2nn8,P17931,1
P03472_2qwc,P03472,5
P22756_2f34,P22756,3
P01116_5kyk,P01116,1
P15531_1ucn,P15531,1
P15090_5y13,P15090,1
P50579_6qeg,P50579,1
P51795_2ja3,P51795,1
Q08881_3v5l,Q08881,1
P17931_6qge,P17931,1
O75164_6h4s,O75164,2
P24941_2w06,P24941,2
Q08638_1uz1,Q08638,1
P37231_3r8i,P37231,2
Q04609_4oc5,Q04609,5
Q9UGL1_5a1f,Q9UGL1,4
O96013_5xvg,O96013,1
P29597_5wal,P29597,1
P56817_3inf,P56817,3
Q9NWZ3_5w84,Q9NWZ3,1
Q8IL11_4r7m,Q8IL11,1
Q7KQK0_5t3n,Q7KQK0,1
P00489_2pri,P00489,1
P00797_4xx4,P00797,3
P56734_4bcs,P56734,1
P48736_4urk,P48736,1
P14350_3s3n,P14350,1
P07900_3owd,P07900,1
Q9GZT9_3ouh,Q9GZT9,1
Q00955_4wz8,Q00955,3
O14684_5tl9,O14684,1
P24941_2wev,P24941,3
Q95460_4pji,Q95460,1
P00742_2ei6,P00742,2
P21836_4a23,P21836,1
O00408_5tzh,O00408,1
P56817_4r8y,P56817,3
Q00987_4mdq,Q00987,2
P07900_2xjx,P07900,1
P00918_4m2v,P00918,3
P43405_4xg6,P43405,1
Q26964_1ms0,Q26964,1
P52333_3zc6,P52333,2
P00742_3kqd,P00742,2
Q6PL18_5a5o,Q6PL18,5
P39900_3n2u,P39900,1
P10828_1xzx,P10828,1
P21836_4b83,P21836,4
P03472_1bji,P03472,5
P00797_5sxn,P00797,2
Q16875_6ic0,Q16875,2
P61823_3d8z,P61823,1
P33981_2zmd,P33981,1
P78417_4yqu,P78417,1
P56817_4lxm,P56817,3
Q96RI1_5q1d,Q96RI1,1
P28482_5bve,P28482,4
P03372_1err,P03372,1
P19491_4o3c,P19491,2
Q9Y233_4fcb,Q9Y233,1
P21836_5fum,P21836,1
P24941_2w1h,P24941,2
P02766_4abv,P02766,2
O14965_3r21,O14965,4
P04058_2cmf,P04058,8
Q5A4W8_5n17,Q5A4W8,1
P06401_1a28,P06401,1
O00408_6c7e,O00408,1
O14965_3m11,O14965,4
P23946_4k60,P23946,3
Q13451_4w9q,Q13451,1
Q06187_3pj2,Q06187,2
P06401_2w8y,P06401,1
P50579_5lyx,P50579,1
P54760_2vwz,P54760,1
P24941_1h1r,P24941,3
Q72498_3ao5,Q72498,2
P55055_6s4t,P55055,1
P54760_2xvd,P54760,1
P56658_1qxl,P56658,1
P02638_4fqo,P02638,1
D0VX21_3suu,D0VX21,1
P03367_3h5b,P03367,2
P03366_1eby,P03366,1
Q16539_2rg6,Q16539,4
Q00987_5trf,Q00987,2
P35968_3b8q,P35968,1
P97571_2nqi,P97571,1
O67854_2q72,O67854,5
P22629_3rdo,P22629,2
Q96PN6_4oz2,Q96PN6,1
O38732_2qi5,O38732,1
P41595_6drz,P41595,2
D6R8X8_4d1a,D6R8X8,1
O14965_5ew9,O14965,3
P48736_3s2a,P48736,1
P0A731_1ik4,P0A731,1
P24941_3ral,P24941,3
Q16539_1bl7,Q16539,4
